"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"USP10",6.64441900596566e-10,-0.78652457839912,0.468,0.705,1.36037834728141e-05
"TMEM38B",6.8596025358108e-10,-0.666470948562977,0.337,0.555,1.4044350231819e-05
"ZRANB2",7.33155984326914e-10,-0.646438276694006,0.818,0.96,1.50106356231092e-05
"MPZL3",7.44791696860954e-10,-1.02577820508327,0.158,0.341,1.52488652015312e-05
"BTK",7.72674421257956e-10,-0.711805231546435,0.494,0.734,1.58197361008354e-05
"UROD",7.79153013969896e-10,-0.635895257825354,0.836,0.96,1.59523788080197e-05
"AAR2",8.15174216919102e-10,-1.64949654500644,0.12,0.289,1.66898769172017e-05
"SAT1",8.17199943613228e-10,1.58251325258592,0.901,0.798,1.67313516455372e-05
"MCL1",8.48972392580964e-10,-0.863705446409141,0.628,0.832,1.73818607657027e-05
"ERICH1",8.51036340135272e-10,-1.03231308046985,0.406,0.636,1.74241180279296e-05
"TALDO1",8.64542900577033e-10,-0.702459781833536,0.895,0.994,1.77006513464142e-05
"RNF144B",8.66664164153237e-10,-0.828580315883433,0.339,0.543,1.77440820968734e-05
"ACSL5",8.81544420773527e-10,-0.983135991778973,0.37,0.59,1.80487404709172e-05
"APMAP",9.77614749546982e-10,-1.09895688804366,0.469,0.659,2.00156843822249e-05
"PDLIM1",9.94714948518884e-10,2.14079795059367,0.453,0.208,2.03657938559756e-05
"RPS3",1.09908963217518e-09,-0.402009983599429,0.999,1,2.25027611291546e-05
"HOXA3",1.13843812789423e-09,-0.301855062257329,0.311,0.526,2.33083822305064e-05
"BEX2",1.17160864020587e-09,-0.898143338072345,0.528,0.74,2.3987515299575e-05
"MEIS1",1.22964906128105e-09,-0.496490562923097,0.769,0.936,2.51758348806682e-05
"RAB31",1.26603349976659e-09,3.36723084384043,0.318,0.098,2.59207698742211e-05
"ACP2",1.29913082193268e-09,-1.2674798714129,0.05,0.168,2.65984044482498e-05
"ZNF248",1.3502465939479e-09,-1.28331982810004,0.184,0.37,2.76449487644894e-05
"TXNDC12",1.39729914057838e-09,-0.80475763077338,0.694,0.861,2.86083026042018e-05
"SSPN",1.47834493022026e-09,-1.48760924995583,0.058,0.179,3.02676341013296e-05
"FAM214B",1.48739712980812e-09,-1.16467142279152,0.021,0.104,3.04529688356915e-05
"ZMYM6NB",1.52271007171362e-09,-0.885479330508312,0.517,0.734,3.11759660082646e-05
"ZNF93",1.63946111582803e-09,-1.22295055189088,0.241,0.445,3.35663268854631e-05
"HOXA7",1.65184836478121e-09,-1.31938619781922,0.039,0.145,3.38199434205304e-05
"ELK3",1.78349151046874e-09,-1.30846245287742,0.186,0.376,3.65152051853369e-05
"TM2D3",1.85459300580582e-09,-1.01520991944746,0.362,0.566,3.79709372008683e-05
"MTF2",1.92096778076179e-09,-0.777864130639749,0.673,0.821,3.93298943433169e-05
"BIN2",1.92841811966513e-09,-0.713273980730312,0.51,0.717,3.94824325820239e-05
"AGPAT6",1.97472371425673e-09,-0.477244332438502,0.649,0.832,4.04304933256923e-05
"TIMM21",2.00772487995582e-09,-1.20940010869483,0.299,0.503,4.11061591922154e-05
"RPL15",2.30803881999563e-09,-0.391213819658143,1,1,4.72547868005906e-05
"MED28",2.55544483432151e-09,-0.635791103046769,0.582,0.798,5.23201775378987e-05
"ASNS",2.63963015522823e-09,-1.35472191673398,0.162,0.341,5.40437877981428e-05
"GSTM2",2.75054264592206e-09,-0.773950380664368,0.496,0.717,5.63146101326082e-05
"DLK1",2.81476317133438e-09,-1.86773253704118,0.046,0.156,5.76294611699001e-05
"COMT",2.88744696852328e-09,-0.835123094357924,0.624,0.867,5.91175892335457e-05
"SLC3A2",2.91409848501778e-09,-0.762441244275915,0.502,0.705,5.96632523822539e-05
"AP1M1",2.98458570947845e-09,-1.04884400276018,0.234,0.439,6.11064078158618e-05
"ZNF559",3.18141694473272e-09,-0.642540815021142,0.24,0.439,6.51363305264577e-05
"DNAJC10",3.4215727498626e-09,-0.468789106172538,0.408,0.653,7.0053280480687e-05
"HSPA1B",3.63114402550566e-09,-1.21211456094654,0.184,0.376,7.43440427782029e-05
"DPY19L2",3.63462721697972e-09,-0.575267991834891,0.232,0.434,7.44153576404427e-05
"DHRS7",4.62442167866775e-09,-0.651789368911596,0.657,0.832,9.46804094490436e-05
"MPDZ",4.63575300731914e-09,-1.27413651111647,0.056,0.173,9.49124070718521e-05
"PRKACB",4.76833284964775e-09,-0.396119526966743,0.802,0.96,9.7626846763688e-05
"FTL",4.95344439343985e-09,-0.391080915281364,0.995,1,0.000101416820511288
"DPY19L2P1",5.22756950281644e-09,-0.488652079555167,0.135,0.306,0.000107029258000664
"ABLIM1",5.47143405769647e-09,-0.621979760280907,0.471,0.682,0.000112022140897278
"GAS2",5.61371427210782e-09,6.78128033297674,0.455,0.243,0.000114935186007136
"SCHIP1",5.88661851008297e-09,-0.696877863632142,0.154,0.329,0.000120522627375439
"HLA-DRB6",5.90054747863394e-09,-0.511662054764696,0.769,0.925,0.000120807809077551
"ZIK1",6.1504474039656e-09,-1.26337772503166,0.041,0.145,0.000125924260148792
"PLSCR4",6.66367523409142e-09,-1.47769248594706,0.071,0.197,0.000136432086742788
"ST3GAL4-AS1",6.74438307557947e-09,-1.01219048796747,0.117,0.277,0.000138084499089414
"SLC9A7P1",6.81098624989312e-09,0.592939417141946,0.871,0.78,0.000139448132480312
"TRPV2",6.85966732351336e-09,-1.01410616881112,0.186,0.37,0.000140444828781612
"LARS",7.48602954596943e-09,-0.575731165290267,0.938,0.971,0.000153268968924178
"ANXA2P2",7.81338432860783e-09,2.85424872345372,0.6,0.445,0.000159971230743917
"ANGPT1",7.99117989793465e-09,-0.940359304410585,0.452,0.671,0.000163611417230314
"ZNF302",8.34212725414924e-09,-1.29198545980651,0.404,0.613,0.000170796713401452
"CPNE1",8.5078888744093e-09,-0.736597711947975,0.757,0.919,0.000174190516814656
"ERMP1",8.63092923147843e-09,-1.3178879089216,0.197,0.382,0.000176709645085289
"SCML4",9.39659590635634e-09,-1.74065856295392,0.17,0.347,0.00019238590458674
"C16orf62",9.68842977726697e-09,-1.07437112666709,0.244,0.445,0.000198360911259764
"FBXL4",9.98005265836617e-09,-1.27479483802347,0.104,0.254,0.000204331598127389
"IRF1",1.01866676356883e-08,1.87759039288342,0.991,0.988,0.000208561833173082
"HLA-G",1.02043824685453e-08,-0.501267023879046,0.479,0.682,0.000208924526660997
"DCPS",1.02550128742887e-08,-0.505798019692708,0.135,0.301,0.000209961133588186
"MIR99AHG",1.06282773093572e-08,-0.872271026597022,0.083,0.22,0.000217603349631779
"SLC30A9",1.08587262778886e-08,-0.987105155177858,0.362,0.566,0.00022232156181349
"HMGB2",1.09421282228105e-08,-0.549064312185185,0.842,0.965,0.000224029133233822
"PIP5K1B",1.13369044474701e-08,-1.14428408143342,0.121,0.277,0.000232111781657502
"EPHX2",1.14196911498816e-08,-1.63125836207223,0.052,0.162,0.000233806756602675
"USP11",1.14414853633218e-08,-0.727468448728888,0.407,0.63,0.00023425297132865
"ADPRM",1.19864806684221e-08,-0.687890158152642,0.227,0.428,0.000245411205205274
