"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SMCO4",1.15277534547511e-66,-0.362706780143199,0.111,0.318,1.136751768173e-62
"KIAA1671",1.40823458500339e-66,-0.314704247987808,0.049,0.199,1.38866012427184e-62
"PCDHB2",1.64110627241608e-66,0.588225632570227,0.337,0.044,1.6182948952295e-62
"ARHGAP4",2.26042086697237e-66,-0.272259908795829,0.048,0.199,2.22900101692145e-62
"PLEKHG1",2.30311316270837e-66,-0.47762628427487,0.1,0.294,2.27109988974673e-62
"FTL",2.51001208986567e-66,-1.45594260151164,0.999,0.999,2.47512292181654e-62
"DLX5",3.52590464304416e-66,1.41620762934965,0.461,0.18,3.47689456850585e-62
"LPP",4.15489951231313e-66,-0.808988809813101,0.372,0.609,4.09714640909197e-62
"TRIM22",5.95141535084898e-66,-0.290821827899792,0.065,0.234,5.86869067747218e-62
"LYSMD2",7.62326161623361e-66,-0.400925177864773,0.143,0.365,7.51729827976796e-62
"CCDC144A",9.00633223643898e-66,0.502052488452955,0.378,0.08,8.88114421835248e-62
"RSL24D1",1.36573409470194e-65,0.513116980468729,0.89,0.708,1.34675039078558e-61
"STK38L",2.20667837130384e-65,-0.371049646129524,0.103,0.301,2.17600554194271e-61
"EIF3E",2.2764037152002e-65,0.938052525453983,0.972,0.933,2.24476170355892e-61
"COL18A1",3.01758068105564e-65,-1.46296156518165,0.477,0.647,2.97563630958897e-61
"MT-ND3",5.33843460674383e-65,0.902795670633125,0.99,0.996,5.26423036571009e-61
"DNM3OS",5.97308645351014e-65,0.534816592722964,0.317,0.034,5.89006055180635e-61
"RAPGEF1",6.72748074988667e-65,-0.368720580231788,0.093,0.284,6.63396876746325e-61
"SOX15",6.97408506639128e-65,0.486329871473705,0.305,0.024,6.87714528396844e-61
"NCAM1",1.23689317113632e-64,0.487993464776307,0.309,0.028,1.21970035605752e-60
"LACTB",1.43649597873298e-64,-0.360912039741466,0.112,0.316,1.4165286846286e-60
"DUSP10",1.54391516695712e-64,-0.320861410652115,0.055,0.212,1.52245474613641e-60
"ADM5",1.61396875447282e-64,-0.361665873678243,0.032,0.157,1.59153458878565e-60
"UTRN",2.04553057743443e-64,-0.593613025272713,0.221,0.454,2.01709770240809e-60
"ZFAS1",2.12275216389389e-64,0.721893796400474,0.939,0.83,2.09324590881577e-60
"DAZAP2",2.30542330761184e-64,-0.582647116892363,0.529,0.757,2.27337792363604e-60
"ITPRIP",2.73716959869979e-64,-0.446796481793437,0.11,0.308,2.69912294127786e-60
"RAC3",4.38830125513412e-64,0.556745394597912,0.351,0.062,4.32730386768775e-60
"HTRA1",4.59458020246208e-64,-1.16771219351376,0.42,0.647,4.53071553764785e-60
"RPS5",4.86559745101033e-64,0.856803411360969,1,0.999,4.79796564644129e-60
"RPL24",5.69183039196538e-64,0.754065276456635,0.999,0.996,5.61271394951706e-60
"SYNPO",9.38647308168673e-64,-0.628470150005711,0.135,0.341,9.25600110585129e-60
"ARPC4",9.97966007899158e-64,-0.619559931109373,0.527,0.751,9.8409428038936e-60
"EIF3H",2.07939375410003e-63,0.822056896223434,0.946,0.88,2.05049018091804e-59
"PCOLCE",2.50704363518353e-63,0.260908898209929,0.813,0.415,2.47219572865448e-59
"NPW",2.67528874581681e-63,0.685084585064295,0.306,0.029,2.63810223224996e-59
"MT-ND2",2.82535321752385e-63,0.857897017787404,0.996,1,2.78608080780027e-59
"MANSC1",4.65911876275881e-63,-0.319411052515028,0.067,0.233,4.59435701195647e-59
"PPP1R15A",6.32996976830473e-63,-0.841945951404291,0.854,0.919,6.2419831885253e-59
"ZFP36",6.50125209750804e-63,-0.744246191680122,0.923,0.966,6.41088469335268e-59
"EOGT",7.67361926480018e-63,-0.33598865308704,0.064,0.226,7.56695595701945e-59
"RP11-295G20",8.023405006712e-63,-0.255988091937573,0.034,0.161,7.9118796771187e-59
"MTMR11",8.42452455386777e-63,0.460402343992141,0.372,0.081,8.30742366256901e-59
"CSRP1",1.31239058853555e-62,-0.721778530535295,0.289,0.519,1.29414835935491e-58
"FAM229B",1.74633764461764e-62,0.499963984533461,0.52,0.22,1.72206355135745e-58
"CAMLG",3.98479683360517e-62,0.579240893016895,0.842,0.606,3.92940815761806e-58
"TRIOBP",4.03344978358321e-62,-0.481668218517369,0.144,0.354,3.97738483159141e-58
"TNIP1",8.2906777184681e-62,-0.519288271077902,0.218,0.454,8.1754372981814e-58
"ACTR2",9.4096464200364e-62,-0.629568779407143,0.537,0.742,9.2788523347979e-58
"ZIC2",9.56268412356877e-62,0.496490195665306,0.287,0.018,9.42976281425116e-58
"PELO",1.10379084252826e-61,-0.506616092242719,0.138,0.342,1.08844814981711e-57
"MAPKAPK2",1.1177916769693e-61,-0.443406775902291,0.122,0.323,1.10225437265942e-57
"GPC4",1.24344967830485e-61,0.545068929983835,0.387,0.093,1.22616572777641e-57
"SERPINB6",1.34904694571727e-61,-0.710049550243577,0.538,0.744,1.3302951931718e-57
"TPM4",1.41422224475072e-61,-0.9036138732646,0.83,0.905,1.39456455554868e-57
"HSPB1",1.58851139633471e-61,-1.06168380295537,0.932,0.937,1.56643108792565e-57
"TMED3",1.75997529021013e-61,0.54226716877228,0.709,0.428,1.73551163367621e-57
"NECAP2",1.93402839093801e-61,-0.506365276956561,0.272,0.517,1.90714539630397e-57
"KCNS3",1.97132290051719e-61,-0.251554423637028,0.031,0.152,1.94392151220001e-57
"FMNL1",2.78271788257404e-61,-0.351390823372383,0.06,0.216,2.74403810400626e-57
"COL8A1",2.7982073934951e-61,0.94904341347982,0.446,0.143,2.75931231072552e-57
"BMP4",3.61607431114634e-61,0.635365653904023,0.37,0.085,3.5658108782214e-57
"GSTO1",4.5845159390395e-61,-0.649438322468429,0.491,0.727,4.52079116748685e-57
"PACSIN2",4.87851698091628e-61,-0.32377015271379,0.116,0.317,4.81070559488154e-57
"SOD3",4.98213095326713e-61,-1.14395618658838,0.111,0.294,4.91287933301672e-57
"RARG",5.38610446360391e-61,0.504521230963235,0.499,0.194,5.31123761155981e-57
"PTPRK",5.68973028366915e-61,-0.467312624826038,0.114,0.308,5.61064303272615e-57
"HSPA1B",6.92913822991637e-61,-1.61813711735013,0.491,0.65,6.83282320852054e-57
"PYCARD",1.04625060551654e-60,-0.646628910400004,0.331,0.57,1.03170772209986e-56
"PEBP1",1.22712347642402e-60,0.569284714664713,0.956,0.848,1.21006646010172e-56
"IL6ST",2.12153357740621e-60,-0.82993502585756,0.33,0.541,2.09204426068026e-56
"MGAT1",2.17442593890622e-60,-0.54327902578502,0.414,0.649,2.14420141835542e-56
"FGFRL1",2.81071654084024e-60,0.451559612661048,0.32,0.046,2.77164758092256e-56
"CD151",2.89023406912505e-60,-0.798629154136177,0.473,0.669,2.85005981556421e-56
"VASP",3.94820632711241e-60,-0.655340880157524,0.454,0.683,3.89332625916554e-56
"THBD",3.98894038195244e-60,-0.90190604202166,0.195,0.417,3.9334941106433e-56
"CDC42",4.24862645873683e-60,-0.776257991810523,0.787,0.91,4.18957055096039e-56
"CENPV",5.73889199671344e-60,0.509481877240418,0.3,0.033,5.65912139795912e-56
"SLC16A4",6.00674655733484e-60,0.438875478126366,0.347,0.068,5.92325278018789e-56
"UBALD2",6.49294782496367e-60,-0.627395817858011,0.2,0.425,6.40269585019668e-56
"NRP1",1.37327937695545e-59,-0.811531340816323,0.377,0.586,1.35419079361577e-55
"COPZ2",1.4023475192425e-59,-0.384691038886487,0.063,0.22,1.38285488872503e-55
"LRRC61",1.45513806980025e-59,0.456046340981752,0.3,0.034,1.43491165063003e-55
"ZNF385D",1.5072955018519e-59,-0.394545858670842,0.038,0.166,1.48634409437616e-55
"FLI1",2.20739021009092e-59,-0.482742506110156,0.166,0.38,2.17670748617066e-55
"MT-ND5",2.22279065671397e-59,0.6943539545963,0.981,0.951,2.19189386658565e-55
"TSPAN7",3.45678126317855e-59,-0.527789672399702,0.06,0.211,3.40873200362037e-55
"CCNYL1",3.64625820120082e-59,-0.271362149699484,0.062,0.217,3.59557521220413e-55
"SAMD11",5.40025197753185e-59,0.449749110450458,0.318,0.047,5.32518847504415e-55
"HMGCLL1",7.54301364988021e-59,0.501737521628187,0.295,0.032,7.43816576014687e-55
"CFD",9.27179463431521e-59,-1.07140722820734,0.093,0.266,9.14291668889823e-55
"CD46",1.53544160683622e-58,-0.430778164190276,0.19,0.417,1.5140989685012e-54
"ICA1",2.65947022131857e-58,-0.376169751971682,0.115,0.307,2.62250358524224e-54
"VWA1",2.82324024895576e-58,-1.719997320629,0.276,0.458,2.78399720949528e-54
"NAT14",3.16170351199187e-58,0.465788352516575,0.369,0.091,3.11775583317518e-54
"MLF1",3.62413674214561e-58,0.588165153200675,0.563,0.269,3.57376124142979e-54
"HSPA1A",3.66150786236752e-58,-1.94211051214593,0.651,0.742,3.61061290308061e-54
"RP11-1143G9",3.69988127342257e-58,-0.507685705498199,0.016,0.106,3.648452923722e-54
"TLE4",4.34206819899756e-58,0.541332342453109,0.59,0.309,4.28171345103149e-54
"RASL11B",5.65380455923048e-58,0.600216378111779,0.321,0.052,5.57521667585718e-54
"NFKBIE",8.20250526644999e-58,-0.375097091955984,0.116,0.309,8.08849044324634e-54
"TFDP2",8.73933619467155e-58,0.525794882163443,0.541,0.256,8.61785942156562e-54
"DPEP3",9.59924296941088e-58,0.753970057171631,0.29,0.033,9.46581349213607e-54
"CCNB1IP1",1.11546031142315e-57,0.539447435908747,0.524,0.244,1.09995541309437e-53
"CYB5A",1.54457995337625e-57,-0.722957731971095,0.343,0.567,1.52311029202432e-53
"CTSH",1.59980059957489e-57,-0.833624348943403,0.331,0.551,1.5775633712408e-53
"SERPINB1",2.18541912210703e-57,-0.560708114962207,0.242,0.481,2.15504179630974e-53
"PLP2",2.28328411702102e-57,0.558603945246638,0.811,0.572,2.25154646779443e-53
"CD55",2.30590173810633e-57,-0.611248918839829,0.22,0.443,2.27384970394665e-53
"SLIT3",3.01217411730077e-57,0.490879541005725,0.425,0.133,2.97030489707029e-53
"TMOD2",3.01427921803709e-57,-0.271752984527754,0.049,0.188,2.97238073690637e-53
"DNAH14",3.53977719355097e-57,0.410683114589368,0.303,0.041,3.49057429056061e-53
"CBLB",5.76021521278546e-57,-0.361149350202135,0.094,0.271,5.68014822132774e-53
"PGM2L1",7.03117791513475e-57,-0.494792398075682,0.112,0.297,6.93344454211438e-53
"SSX1",7.26749356790397e-57,0.475810393492862,0.281,0.025,7.16647540731011e-53
"UGCG",8.45794022595432e-57,-0.469472171012351,0.188,0.409,8.34037485681355e-53
"PXDC1",1.50115442241459e-56,-0.456874202901502,0.155,0.362,1.48028837594303e-52
"IFI27L2",1.5900137791414e-56,-0.488419117052631,0.315,0.578,1.56791258761133e-52
"EXTL2",1.77659089071626e-56,0.462955149356716,0.493,0.208,1.75189627733531e-52
"SIPA1",2.14341134858031e-56,-0.409820044249318,0.151,0.357,2.11361793083505e-52
"PGF",3.2100058513336e-56,-1.82957079963778,0.309,0.506,3.16538677000006e-52
"ITGA10",3.34588979848166e-56,-0.267093866065009,0.032,0.148,3.29938193028277e-52
"SPTLC2",3.62795801834464e-56,-0.345718686108418,0.122,0.314,3.57752940188965e-52
"SPCS3",4.18046434099229e-56,-0.53427783125388,0.328,0.556,4.1223558866525e-52
"GJC1",4.28977648585198e-56,-0.348390119486793,0.067,0.221,4.23014859269864e-52
"FAM65A",4.71915502042092e-56,-0.444017813110705,0.117,0.302,4.65355876563707e-52
"SUCO",4.75701166688573e-56,0.708024055285473,0.43,0.158,4.69088920471602e-52
"SSBP2",5.68123654304435e-56,0.473693223582137,0.506,0.218,5.60226735509604e-52
"XIST",6.52714065828202e-56,-1.06378098187578,0.399,0.642,6.4364134031319e-52
"RPL37A",7.49851698937548e-56,0.781308347442159,0.999,0.999,7.39428760322316e-52
"BTG3",1.13332520701264e-55,0.578384619480389,0.685,0.438,1.11757198663517e-51
"REEP3",1.1376083453466e-55,-0.609029058208733,0.273,0.493,1.12179558934628e-51
"LUZP1",1.40652668727167e-55,-0.671916768599633,0.297,0.512,1.38697596631859e-51
"AK1",1.52252014017253e-55,-0.694755327015021,0.267,0.481,1.50135711022413e-51
"MAGEC2",1.662723037657e-55,0.510381068210546,0.258,0.013,1.63961118743357e-51
"PRCP",1.68987250389332e-55,-1.11742453423517,0.336,0.535,1.6663832760892e-51
"EGR1",1.96018368100415e-55,0.470727739985613,0.919,0.75,1.93293712783819e-51
"FAM53C",2.1494825753763e-55,0.507355370466531,0.677,0.4,2.11960476757857e-51
"FOXF1",2.46363507788535e-55,0.56587120444076,0.337,0.073,2.42939055030274e-51
"ZNF608",2.84329946410495e-55,0.474015073165416,0.356,0.086,2.80377760155389e-51
"DLX6",3.44034736408847e-55,0.534089124204512,0.258,0.015,3.39252653572764e-51
"COX17",4.13297784148151e-55,-0.660584706660287,0.521,0.725,4.07552944948492e-51
"NEURL1",4.8200253794136e-55,0.398038884702574,0.287,0.034,4.75302702663975e-51
"TBCA",7.23202812466063e-55,0.509412353926943,0.952,0.847,7.13150293372784e-51
"FHOD1",8.69547462040885e-55,-0.340946417148386,0.092,0.263,8.57460752318516e-51
"PIM3",8.89078662272383e-55,-0.889414713341011,0.477,0.658,8.76720468866797e-51
"ENPP2",1.5074669028194e-54,-0.273652682425231,0.041,0.169,1.48651311287021e-50
"WIF1",1.87002474102735e-54,1.73440773709122,0.34,0.086,1.84403139712707e-50
"B4GALT1",1.91474377034683e-54,-0.596751460941733,0.225,0.45,1.88812883193901e-50
"MAN2A1",2.00323817144696e-54,-0.283020855604384,0.074,0.233,1.97539316086385e-50
"TBC1D9",2.95798900004161e-54,-0.313072405713601,0.079,0.242,2.91687295294103e-50
"OSBPL10",3.26741812943253e-54,-0.26393518040585,0.052,0.189,3.22200101743342e-50
"PNMA6C",3.95842828440872e-54,0.379990451502213,0.25,0.011,3.90340613125544e-50
"DLX2",4.34664602505448e-54,0.444643340439669,0.292,0.04,4.28622764530622e-50
"SQSTM1",4.83933787049975e-54,-0.869067093103167,0.657,0.799,4.77207107409981e-50
"INSR",7.28284304213758e-54,-2.21960056615614,0.306,0.476,7.18161152385187e-50
"DGKZ",7.77559434198343e-54,-0.4091021912002,0.134,0.326,7.66751358062986e-50
"ZCRB1",7.90834586922884e-54,0.505808049694331,0.792,0.558,7.79841986164656e-50
"MORF4L2",9.40431087423455e-54,0.447367667298622,0.925,0.744,9.27359095308269e-50
"TNFRSF10D",9.5775947102654e-54,-0.414853480388674,0.074,0.229,9.44446614379271e-50
"MEST",9.80168759748955e-54,0.607703530323729,0.447,0.167,9.66544413988445e-50
"PLXDC2",1.15823404242477e-53,-0.394039929835638,0.13,0.322,1.14213458923507e-49
"GRPEL2",1.42833199156866e-53,-0.47913409356004,0.071,0.222,1.40847817688585e-49
"AUTS2",1.46540021742691e-53,0.474775317418273,0.415,0.142,1.44503115440467e-49
"GADD45A",1.87072107729662e-53,-0.59778169894414,0.262,0.49,1.84471805432219e-49
"FES",2.33849219369022e-53,-0.304586243413228,0.101,0.278,2.30598715219793e-49
"ARHGAP31",2.9671379336794e-53,-0.257025840554126,0.048,0.181,2.92589471640125e-49
"ARL4A",3.1778383694323e-53,-0.846605348855672,0.302,0.525,3.1336664160972e-49
"RBFOX2",3.61006182099142e-53,0.466915419740554,0.705,0.42,3.55988196167964e-49
"AGPAT2",5.479805680378e-53,0.596410154306428,0.573,0.312,5.40363638142075e-49
"TUBA1C",6.54799427365431e-53,-0.53338764338826,0.272,0.504,6.45697715325051e-49
"NTAN1",6.75278565857921e-53,-0.543321317551841,0.271,0.484,6.65892193792496e-49
"SPOCK1",6.82976157479561e-53,0.603616259809258,0.333,0.074,6.73482788890595e-49
"COL1A1",7.09480655744589e-53,-1.73080903747051,0.846,0.49,6.99618874629739e-49
"LINC00493",7.59428229800417e-53,0.502604350153968,0.853,0.691,7.48872177406191e-49
"PPP1R16A",1.14585383692634e-52,0.470498536012836,0.36,0.1,1.12992646859307e-48
"IFNAR2",1.25814939328716e-52,-0.338739949453074,0.129,0.319,1.24066111672046e-48
"GPM6B",1.51726842373668e-52,0.505040018264512,0.544,0.243,1.49617839264674e-48
"ASAP1",1.84995634713798e-52,-0.546120486588972,0.271,0.488,1.82424195391276e-48
"MTSS1",2.51479806816819e-52,-0.480072385079832,0.134,0.32,2.47984237502066e-48
"MAP4K4",2.51527921991931e-52,-0.822180701119529,0.242,0.442,2.48031683876244e-48
"GNG7",2.76214521731342e-52,-0.292178589703136,0.077,0.234,2.72375139879277e-48
"MFSD12",2.97678184648371e-52,-0.271551884269795,0.072,0.226,2.93540457881758e-48
"MYO9B",3.14037679260527e-52,-0.336488030430502,0.124,0.311,3.09672555518805e-48
"IRX3",3.29036576163563e-52,0.496968660582931,0.318,0.064,3.2446296775489e-48
"SMIM12",4.13978884735493e-52,-0.437134540512726,0.211,0.424,4.08224578237669e-48
"HIST2H2BE",4.43940020440422e-52,0.449125859068692,0.335,0.08,4.377692541563e-48
"SYNE2",4.88947987260006e-52,-0.457067412224731,0.148,0.341,4.82151610237091e-48
"NIN",4.9508090155424e-52,-0.287294248478202,0.093,0.261,4.88199277022637e-48
"TMEM219",5.02166202298791e-52,-0.588598117657209,0.669,0.826,4.95186092086838e-48
"CTSD",7.07693870160609e-52,-1.12707014737952,0.642,0.777,6.97856925365377e-48
"PON2",7.56939612995279e-52,-0.666433472771754,0.288,0.507,7.46418152374644e-48
"DNAJB1",8.5892100693458e-52,-1.26054476259792,0.716,0.829,8.46982004938189e-48
"TRAK1",8.95984561424501e-52,-0.270063932895775,0.079,0.238,8.83530376020701e-48
"NCK2",9.4528890739584e-52,-0.3799234432206,0.093,0.258,9.32149391583038e-48
"C12orf57",9.64815221666455e-52,0.406821867556764,0.944,0.752,9.51404290085291e-48
