"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PELI1",1.85612580755104e-56,-0.96145984754266,0.214,0.485,3.84552144808424e-52
"ACSL4",1.92321759769179e-56,-1.01879099271632,0.131,0.399,3.98452221889784e-52
"SNRNP25",2.01178710955763e-56,0.899024226581985,0.401,0.154,4.16802053358149e-52
"MGAT4A",2.0290507918988e-56,-1.09296847724403,0.11,0.371,4.20378743065594e-52
"COX6C",2.20072429832619e-56,0.482212339071777,0.867,0.625,4.5594606012722e-52
"SCNM1",2.34644670853646e-56,0.792548461131528,0.355,0.124,4.86136829074584e-52
"DCAF13",2.7462719202677e-56,0.938282888069947,0.38,0.147,5.68972616441061e-52
"TMEM208",3.04324915121693e-56,0.867973316051685,0.453,0.197,6.30500359149124e-52
"LYRM5",3.05742810099577e-56,0.868537154665331,0.381,0.141,6.33437953964304e-52
"TMEM203",3.19402587605586e-56,0.955369276129575,0.323,0.105,6.61738281001254e-52
"ABCA13",3.35296925621002e-56,0.872720320540068,0.131,0.01,6.94668170501591e-52
"PRKD1",3.38006168191109e-56,0.833451214892539,0.202,0.038,7.0028117925834e-52
"ALDH3A2",3.52989580649732e-56,0.961722100908254,0.364,0.138,7.31323813190115e-52
"ZDHHC4",4.40326360600835e-56,0.950720185393453,0.388,0.152,9.12268153892809e-52
"MAP3K13",4.44355073070384e-56,0.793689301419423,0.515,0.242,9.20614840387222e-52
"NAGA",6.70566436484802e-56,-1.20248174616479,0.066,0.312,1.38927954310921e-51
"DAD1",7.36510471719597e-56,0.524914577971745,0.784,0.555,1.52590239530866e-51
"CAPG",8.6330477316411e-56,-0.843659023497813,0.27,0.533,1.7885948290414e-51
"NOL3",8.91374259883768e-56,0.926552693519963,0.207,0.041,1.84674919162719e-51
"TSPAN13",9.19518656902582e-56,0.940963764961205,0.348,0.124,1.90505875337077e-51
"METTL2B",9.21225821642157e-56,0.896937462380501,0.268,0.075,1.90859565727822e-51
"DGUOK",1.06277495917633e-55,0.789203163011018,0.531,0.259,2.20185716042152e-51
"MRPL55",1.06766241062978e-55,0.784112749187308,0.535,0.273,2.21198298234277e-51
"NFAM1",1.22087073029197e-55,-1.16347646787113,0.009,0.218,2.52939997901891e-51
"POSTN",1.27932325806935e-55,0.85232745840464,0.106,0.002,2.65050192606807e-51
"TMCO1",1.33462657360798e-55,0.684830323878704,0.641,0.402,2.76507933520101e-51
"SLC37A2",1.38631425273798e-55,-1.18112889103352,0.008,0.216,2.87216586882255e-51
"FAM70A",1.64502164160699e-55,0.929935102596424,0.26,0.068,3.40815583708137e-51
