"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PSMB8-AS1",2.22398323512305e-47,-0.285866518714731,0.042,0.207,5.078688115727e-43
"PHACTR2",2.49304441622808e-47,-0.318132610513798,0.207,0.458,5.69311622889845e-43
"COPZ1",2.69042260332457e-47,0.551751922628128,0.823,0.704,6.143849056952e-43
"PDE7B",2.75346591474782e-47,-0.322194093338774,0.008,0.134,6.28781476291812e-43
"FLI1",2.89055982718417e-47,-0.276320963659295,0.045,0.211,6.60088242135776e-43
"MFAP5",2.99345148026443e-47,-1.29573822981234,0.026,0.17,6.83584580033186e-43
"RPL26",3.29560775252053e-47,0.470858452278815,1,1,7.52584986365589e-43
"PDGFD",3.32360469636097e-47,-0.33087395842265,0.011,0.141,7.58978368460991e-43
"PARP9",3.49758732213398e-47,-0.412089660475988,0.238,0.479,7.98709040882516e-43
"CRNKL1",3.5180101639372e-47,0.404639939919749,0.409,0.182,8.033728010367e-43
"FPR1",3.72839316323896e-47,-0.274944721730481,0.008,0.132,8.51415862757249e-43
"CTPS2",3.88802774716885e-47,0.316435517083108,0.268,0.07,8.87870016343478e-43
"MRPS30",4.12619617323405e-47,0.550142057018142,0.508,0.278,9.42258158119728e-43
"COQ9",4.30794113972411e-47,0.385547770935869,0.486,0.239,9.83761438667398e-43
"PACSIN2",4.47222941503698e-47,0.440997121121907,0.528,0.289,1.02127830921784e-42
"FAHD1",4.68934459513208e-47,0.401618234418218,0.445,0.213,1.07085873174436e-42
"GAA",4.83931749591939e-47,0.625191058551842,0.667,0.494,1.10510654336815e-42
"POLH",5.07094130276472e-47,0.384842803007201,0.253,0.061,1.15800015589935e-42
"NDUFA10",5.24542064823022e-47,0.470852303265379,0.762,0.568,1.19784425922985e-42
"TBC1D9",5.36632996981881e-47,0.869965252362018,0.448,0.246,1.22545511190782e-42
"PSTPIP1",6.01861038809671e-47,-0.292376813095288,0.025,0.172,1.37440986822577e-42
"THEM6",6.3712486397628e-47,0.358977130782279,0.369,0.141,1.45493833937623e-42
"GUCD1",6.53346718512968e-47,0.425917417881742,0.483,0.249,1.49198256639621e-42
"C1GALT1C1",6.67364948994678e-47,0.52429777870863,0.54,0.318,1.52399459752425e-42
"WBP2",7.05965544741607e-47,0.642624630929882,0.683,0.505,1.61214291797193e-42
"MED20",7.24060075636828e-47,0.354268170880212,0.283,0.081,1.65346358872426e-42
"NAP1L4",7.65106289603525e-47,0.414431020671055,0.66,0.415,1.74719672293861e-42
"ARFGEF1",7.74386149411058e-47,0.498058783888922,0.468,0.245,1.76838821079509e-42
"PES1",8.00976116003665e-47,0.437918400857669,0.518,0.282,1.82910905850597e-42
"NRBP2",8.59704865376542e-47,0.378023749318195,0.301,0.095,1.96322203057387e-42
"BTF3L4",8.73736316645693e-47,0.527694515858268,0.828,0.682,1.9952642526921e-42
"SLC35A3",9.0258293449502e-47,0.397224970170229,0.391,0.162,2.06113838921283e-42
"GPRC5B",9.31533710896023e-47,0.347524660896155,0.275,0.073,2.12725038220216e-42
"ERLIN2",9.50251988227101e-47,0.472636589075467,0.404,0.183,2.16999544031541e-42
"CD34",9.8870651325163e-47,-0.482675937001675,0.021,0.161,2.25781019366142e-42
"GRHL2",1.04414357835583e-46,0.276320312037475,0.187,0.021,2.38440627553337e-42
"BMP1",1.0593037889018e-46,-0.355318995853178,0.048,0.213,2.41902613233615e-42
