"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TBC1D1",1.06476436547237e-26,-0.296049061884733,0.092,0.231,1.85151875511991e-22
"MTRNR2L2",1.20911582007228e-26,0.283450499104128,0.399,0.662,2.10253149952369e-22
"ZNRD2",1.31714313536262e-26,0.32493524816726,0.346,0.182,2.29038019808206e-22
"MANBAL",1.33001495774109e-26,0.304054828041207,0.33,0.167,2.31276301001598e-22
"EXT1",1.33624757921407e-26,0.256918308574738,0.218,0.079,2.32360091549535e-22
"STAU1",1.34610092054993e-26,0.44852907290546,0.518,0.35,2.34073489074427e-22
"RPP25L",1.35509350590466e-26,0.276342842280696,0.273,0.12,2.35637209741762e-22
"MMD",1.39818826166001e-26,0.291260106280899,0.256,0.108,2.43130956820059e-22
"PPP1R12A",1.44547156337972e-26,-0.438392694352184,0.221,0.384,2.513530501561e-22
"SMIM7",1.45432499776361e-26,0.391378719411628,0.499,0.338,2.52892573861115e-22
"CDO1",1.47947457737227e-26,0.37051389476276,0.128,0.023,2.57265834259264e-22
"CNIH1",1.50463063775111e-26,0.460554761094304,0.525,0.369,2.6164022159854e-22
"ERI3",1.71784475984401e-26,0.289212950358564,0.303,0.145,2.98716025289274e-22
"C1QB",1.99699561227575e-26,-1.82827948489607,0.055,0.171,3.4725756701863e-22
"CRYAB",2.04714412199468e-26,-0.367476642861763,0.039,0.15,3.55977891373655e-22
"FAM162A",2.16344243561041e-26,0.553645605210895,0.462,0.303,3.76201005128294e-22
"FLNB",2.34367411973235e-26,0.583921723141873,0.354,0.197,4.07541492680258e-22
"BCAM",2.40161621163748e-26,-0.64101233509879,0.227,0.374,4.17617043041642e-22
"THAP7",2.44122398280952e-26,0.282068436020395,0.296,0.138,4.24504438370747e-22
"PRDX1",2.46971748652482e-26,0.911105980647662,0.847,0.806,4.29459173731801e-22
"PCSK1N",2.59456601721668e-26,0.905343459657311,0.124,0.022,4.51169084733808e-22
"TPM2",2.60582901965342e-26,-1.74107019382005,0.192,0.334,4.53127608227533e-22
"SC5D",2.68192712812752e-26,0.353753202553274,0.236,0.094,4.66360308310094e-22
"RALA",2.73250013316953e-26,0.435351345140308,0.458,0.286,4.7515444815685e-22
"CYP4A11",2.8602375750382e-26,0.401689918465628,0.111,0.015,4.97366711923392e-22
"GPLD1",2.99539316983173e-26,0.388777993593605,0.114,0.016,5.2086891830204e-22
