"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FLOT1",0.173784908598534,0.296605749704653,0.555,0.518,1
"ATP8B1",0.173840546723441,0.742112921500548,0.243,0.294,1
"EPS15L1",0.173983586638072,0.425063287599245,0.359,0.33,1
"CKLF",0.174420039180218,-0.417390713891983,0.279,0.301,1
"FRG1",0.174454440675743,0.368646068308092,0.452,0.426,1
"STK16",0.174586518314301,0.331842061821609,0.105,0.078,1
"DNAJC4",0.174806595354847,0.36201938542851,0.272,0.238,1
"GTF2H2C",0.1748486726209,0.291792245552331,0.508,0.603,1
"YIPF4",0.174867347208335,0.360108284422543,0.508,0.472,1
"LOC100129361",0.175230761282551,0.447565621463288,0.36,0.319,1
"SLC25A11",0.17553432534583,0.288631757171095,0.456,0.422,1
"C6orf89",0.175681342434699,0.407548556538943,0.553,0.532,1
"FUOM",0.176181318477924,-0.844194659262742,0.094,0.117,1
"BAG1",0.176251807913552,-0.419773281219741,0.352,0.397,1
"MAPKAPK5-AS1",0.17632237485656,0.971568917275567,0.229,0.206,1
"SLAIN2",0.176376293504913,0.721871117709079,0.191,0.156,1
"TRDMT1",0.176519816740325,1.13180214044859,0.227,0.209,1
"NOL9",0.177015551169076,0.835025549098416,0.853,0.933,1
"NUDT16",0.177113828091225,-0.254181686291298,0.194,0.23,1
"ZNF620",0.177354134049022,1.56585445001919,0.456,0.457,1
"LPL",0.177458770469601,-0.65859755786993,0.138,0.167,1
"NDFIP2",0.177508772545565,-0.260345290922714,0.379,0.411,1
"MCM5",0.17753672836973,0.388741777090283,0.251,0.305,1
"ST3GAL6",0.17781026093515,0.544190245228839,0.339,0.309,1
"URGCP",0.177896264834651,0.398270451151918,0.197,0.163,1
"PMS2P4",0.178026689635803,1.00148052594795,0.153,0.124,1
"MGME1",0.178412701269885,0.613703420957931,0.157,0.128,1
"ZNF556",0.178596731854006,1.69170196927691,0.117,0.149,1
"ANO10",0.178620630196004,0.421525350428388,0.219,0.184,1
"TRRAP",0.178971694364227,0.295863354086137,0.358,0.33,1
"TTTY15",0.179250847157895,0.556806671250364,0.199,0.238,1
"BRDT",0.179383505500273,0.300108669641878,0.217,0.262,1
"RPL21P44",0.179537808268646,1.03010424384713,0.136,0.11,1
"IFT27",0.179753029056054,-0.292640661977702,0.281,0.323,1
"CLEC2D",0.179793749749258,0.309466903691462,0.398,0.454,1
"UBN2",0.179822743562021,0.425582918708109,0.672,0.773,1
"MRPL16",0.18029242996513,0.468955077265775,0.271,0.238,1
"HELZ",0.180875769689446,0.395676953260517,0.674,0.684,1
"MIR17HG",0.181239195098908,0.343938241397946,0.238,0.213,1
"ERO1LB",0.181334317668752,0.696334297146613,0.25,0.216,1
"PIK3CB",0.181391950585284,0.420963323475728,0.16,0.199,1
"CEP63",0.181401152960374,0.311100192476027,0.402,0.376,1
"YIPF1",0.182145201402354,0.304651826845653,0.163,0.202,1
"KATNBL1",0.182872242244254,0.460777553798127,0.384,0.358,1
"SMAD9",0.182893121784714,0.43489668518123,0.471,0.454,1
"MTERF",0.18318963782286,0.773155709843138,0.114,0.089,1
"DTX4",0.183431751348202,-0.314966903586408,0.144,0.174,1
"MMP24",0.183474054067413,1.82686959524457,0.128,0.106,1
"PMS2P1",0.18353685334954,0.402810977119398,0.301,0.27,1
"MT1IP",0.184015487430988,0.296012814886145,0.136,0.17,1
"FBXL4",0.184251757860129,-0.340037936011798,0.136,0.163,1
"CCDC18",0.184293527593853,0.842196079954591,0.079,0.106,1
"FAM126B",0.184333512422801,0.578255751322248,0.81,0.915,1
"CHST15",0.184567475187107,0.847395047477169,0.148,0.121,1
"TYW1",0.184932368476733,0.419415614307002,0.213,0.262,1
"FER",0.185033352956191,0.582801470007158,0.232,0.199,1
"PNN",0.18522325549141,0.302889666704589,0.602,0.585,1
"JHDM1D",0.185263680002779,-0.603948695323474,0.113,0.138,1
"KCTD5",0.185594192377901,-1.0037846166533,0.116,0.142,1
"MED9",0.185780237545189,0.337855866224419,0.111,0.085,1
"DRAM1",0.185785952304658,0.679138836247462,0.114,0.089,1
"RBM12B-AS1",0.185998269589415,0.893005113854179,0.117,0.092,1
"SLC30A8",0.186227270945192,0.300021465883092,0.123,0.152,1
"LMOD1",0.186234613057981,0.584019863701338,0.136,0.11,1
"TMEM57",0.186251485376724,0.318153978016747,0.183,0.152,1
"LARP4",0.1864122316209,0.330786692642513,0.371,0.326,1
